"Neighbourhood.Name","Gini_i_HH_tIncome","Avg_HH_size","Avg_tIncome_HH_in_2020","Race_Total","Prop_Black","Prop_Arab","Prop_Latin_Amrican","Prop_East_SouthEast_Asian","Prop_West_Asian","Prop_multi_vis_minority","Prop_non_vis_minority","Unemployment_rate","Prop_no_dip","Prop_HS_or_equi","Prop_PS_non_Bach","Prop_PS_Bach","Prop_Graduate","MEAN_VIOLENT_CRIME_RATE_2014_2022","TOTAL_CRIME_RATE_2022","TOTAL_CRIME_RATE_2016","ROBBERY_2016","BREAKENTER_2016","SHOOTING_2016","MEAN_SHOOTING_RATE_2014_2022"
"Bedford.Park.Nortown",0.5,2.7,266000,22145,0.02190110634,0.006547753443,0.01941747573,0.146759991,0.01828855272,0.01286972228,0.7459923233,10.4,0.08101405346,0.2121796638,0.1526591347,0.3235050978,0.2306420502,190.9184962,885.55872,860.805791,18,100,1,3.186051778
"St.Andrew.Windfields",0.5,2.7,220600,16955,0.03833677381,0.01061633736,0.01739899735,0.2978472427,0.07077558242,0.01061633736,0.452373931,10.8,0.08568479009,0.1978664831,0.1631108052,0.3076393668,0.2456985547,284.4792355,983.21303,712.063388,17,56,2,4.149865444
"Bridle.Path.Sunnybrook.York.Mills",0.6,2.7,519500,8940,0.007270693512,0.01621923937,0.007270693512,0.2086129754,0.06263982103,0.024049217,0.6336689038,8.2,0.06163934426,0.171147541,0.1095081967,0.331147541,0.326557377,347.8392329,1188.881785,931.5314,2,49,0,11.10338844
"Banbury.Don.Mills",0.5,2.2,144600,27150,0.04604051565,0.0167587477,0.0123388582,0.2624309392,0.04769797422,0.02283609576,0.4607734807,10.5,0.08803039899,0.218703821,0.2009710787,0.2970234326,0.1952712687,292.8622563,775.276753,596.302416,24,57,2,4.160134111
"Victoria.Village",0.3,2.4,84900,17365,0.1243881371,0.06939245609,0.02562625972,0.1364814282,0.04606968039,0.02764180823,0.3714367982,16.8,0.1811668373,0.2657795974,0.2688502218,0.1896963494,0.0945069942,636.3674172,1202.45836,1104.966005,12,22,7,20.88088444
"Flemingdon.Park",0.3,2.8,79700,22530,0.1140701287,0.02751886374,0.01553484243,0.1706613404,0.09076786507,0.02285841101,0.1975144252,16.5,0.1937414966,0.2666666667,0.2201360544,0.205170068,0.1142857143,656.0914275,899.290664,936.03498,25,14,8,29.974956
"Pleasant.View",0.3,2.8,106300,15220,0.05847568988,0.03186596583,0.01609724047,0.3761498029,0.0252956636,0.0167542707,0.3301576873,16.9,0.1483967189,0.2464578673,0.2177479493,0.2568978374,0.1304996271,238.3720104,513.42153,609.180276,13,32,1,2.032310444
"Don.Valley.Village",0.3,2.6,99100,26770,0.04538662682,0.03193873739,0.02932387,0.3468434815,0.09450877848,0.02521479268,0.2568173328,15.1,0.1083024624,0.2168228372,0.2148616256,0.2869906298,0.173022445,446.0114284,811.760976,907.398917,25,66,1,5.078289556
"Hillcrest.Village",0.3,2.6,105900,16345,0.04863872744,0.01009483022,0.01345977363,0.4866931783,0.04833282349,0.02141327623,0.2095442031,13.6,0.1156651615,0.2045849253,0.2125738104,0.2889892324,0.1781868704,312.3982316,695.810652,729.87704,15,34,0,4.375797889
"Bayview.Woods.Steeles",0.4,2.5,122600,12085,0.04923458833,0.01034340091,0.01489449731,0.4033926355,0.09019445594,0.022755482,0.3156805958,13.4,0.09660938226,0.2243381328,0.1950766373,0.2926149559,0.1913608918,289.0556006,585.181398,724.247324,0,33,1,6.657094
